DATE,TIME,DT,WD_WS,VISIBILITY,WEATHER,LOWEST_CLOUD,LOW_CLOUD,MID_CLOUD,CURRENT_TEMP,DEW_POINT
18-06-2017,1431,51430,CALM,1600,FU,0,NSC,0,17,12
19-06-2017,1501,51500,110/03,1500,FU,0,NSC,0,17,12
20-06-2017,1531,51530,150/03,1200,BR,0,NSC,0,17,13
21-06-2017,1631,51630,CALM,1000,BR,0,NSC,0,17,13
22-06-2017,1701,51700,CALM,1000,BR,0,NSC,0,16,13
23-06-2017,1731,51730,CALM,1000,BR,0,NSC,0,16,13
24-06-2017,1731,51730,CALM,1000,BR,0,NSC,0,16,13
25-06-2017,1801,51800,090/05,800,MIFG,0,NSC,0,16,13
26-06-2017,1801,51800,090/05,800,MIFG,0,NSC,0,16,13
27-06-2017,1801,51800,090/05,800,MIFG,0,NSC,0,16,13
28-06-2017,1931,51930,120/05,800,MIFG,0,NSC,0,16,13
29-06-2017,2101,52100,120/06,800,MIFG,0,NSC,0,15,13
30-06-2017,2201,52200,120/06,800,MIFG,0,NSC,0,15,14
01-07-2017,2231,52230,140/06,800,MIFG,0,NSC,0,15,14
02-07-2017,2231,52230,140/06,800,MIFG,0,NSC,0,15,14
03-07-2017,2231,52230,140/06,800,MIFG,0,NSC,0,15,14
04-07-2017,2331,52330,140/06,800,MIFG,0,NSC,0,15,14
05-07-2017,1,60000,140/06,800,MIFG,0,NSC,0,15,14
06-07-2017,31,60030,150/06,800,MIFG,0,NSC,0,15,15
07-07-2017,31,60030,150/06,800,MIFG,0,NSC,0,15,15
08-07-2017,31,60030,150/06,800,MIFG,0,NSC,0,15,15
09-07-2017,101,60100,140/06,800,MIFG,0,NSC,0,15,15
10-07-2017,131,60130,140/07,800,MIFG,0,NSC,0,15,15
11-07-2017,131,60130,140/07,800,MIFG,0,NSC,0,15,15
12-07-2017,201,60200,140/07,600,MIFG,0,NSC,0,15,15
13-07-2017,231,60230,140/07,600,MIFG,0,NSC,0,15,15
14-07-2017,301,60300,140/07,700,MIFG,0,NSC,0,16,14
15-07-2017,331,60330,130/06,800,MIFG,0,NSC,0,17,14
16-07-2017,331,60330,130/06,800,MIFG,0,NSC,0,17,14
17-07-2017,401,60400,120/06,800,MIFG,0,NSC,0,18,14
18-07-2017,431,60430,140/06,800,FU,0,NSC,0,19,14
19-07-2017,501,60500,130/06,1000,FU,0,NSC,0,20,14
20-07-2017,501,60500,130/06,1000,FU,0,NSC,0,20,14
21-07-2017,501,60500,130/06,1000,FU,0,NSC,0,20,14
22-07-2017,501,60500,130/06,1000,FU,0,NSC,0,20,14
23-07-2017,501,60500,130/06,1000,FU,0,NSC,0,20,14
24-07-2017,531,60530,160/06,1000,FU,0,NSC,0,21,14
25-07-2017,601,60600,140/06,1200,FU,0,NSC,0,21,11
26-07-2017,631,60630,150/06,1500,FU,0,NSC,0,23,11
27-07-2017,701,60700,110/06,2000,FU,0,NSC,0,23,11
28-07-2017,731,60730,120/08,2200,FU,0,NSC,0,24,11
